,file_path,mfcc_a_0,mfcc_a_1,mfcc_a_2,mfcc_a_3,mfcc_a_4,mfcc_a_5,mfcc_a_6,mfcc_a_7,mfcc_a_8,mfcc_a_9,mfcc_a_10,mfcc_a_11,mfcc_a_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_a_0,chroma_a_1,chroma_a_2,chroma_a_3,chroma_a_4,chroma_a_5,chroma_a_6,chroma_a_7,chroma_a_8,chroma_a_9,chroma_a_10,chroma_a_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,rolloff_a,rolloff_std,melspect_a,melspect_std,rmseP_a,rmseP_std,rmseH_a,rmseH_std,centroid_a,centroid_std,bw_a,bw_std,contrast_a,contrast_std,polyfeat_a,polyfeat_std,tonnetz_a,tonnetz_std,zcr_a,zcr_std,onset_a,onset_std,bpm,rmseP_skew,rmseP_kurtosis,rmseH_skew,rmseH_kurtosis,beats_a,beats_std
0,ce505b0ea58a9441419356e3789ee1fca7010c97,-193.77429,153.4468,-65.5864,52.62556,-9.200941,16.675714,-5.5527205,16.060467,5.349307,4.937654,-2.1822305,3.0437908,10.699987,31.54488,17.92759,12.41421,11.158645,13.442482,13.05417,9.78471,9.906532,8.343211,7.133327,9.357126,8.759573,9.302089,0.2943564,0.23103833,0.3246766,0.3165663,0.31413397,0.19733037,0.2071859,0.34281996,0.1605403,0.23924851,0.22379132,0.18862456,0.14843406,0.081451654,0.12201636,0.15210536,0.08800469,0.15477964,0.12299194,0.17157286,0.090311,0.07700283,0.13608621,0.10972184,6417.643146514893,2300.9365159057,2.2756903,11.413404,0.028427178339016423,0.02068480050170968,0.04818165715675783,0.015731330026157963,3231.908673774312,952.1453774593134,3015.494880879748,763.0549302076473,22.060762510460705,14.729176504542302,-0.0001317274606004261,3.838245585205497e-05,0.03828606120460494,0.08612031286160977,0.09778404235839844,0.03103514159443724,1.5619118,1.6694281,123.046875,1.3647712632701774,1.551023217343861,0.519436933932514,0.24668109895628554,14.43565230536659,8.470371663472402
1,7a2e339cb3dbc9f22fa7e156493ee5b6f50f3096,-183.2344,159.47006,-29.036768,39.96834,-20.72256,18.595516,-11.183495,1.3639865,-3.3649879,-2.2981248,-1.4596752,-1.9759648,1.5750068,25.104807,15.461695,12.975393,12.307919,13.751019,12.891252,9.957605,9.390828,10.853738,8.386304,10.217873,9.700275,9.994941,0.27689204,0.25689584,0.33460695,0.24470572,0.28863174,0.1862025,0.21052222,0.27641267,0.26046377,0.3191967,0.18450215,0.2665318,0.1057795,0.107028164,0.12915058,0.13443698,0.13781583,0.12494195,0.121504456,0.14146212,0.10638373,0.12800877,0.08497689,0.101392284,5685.774993896484,2015.039503981364,6.429446,40.10576,0.043030080936790005,0.034780050717872456,0.07099967873451334,0.028838718621034782,2662.0888739239576,948.9381164034377,3039.6945088161483,587.9161726160664,21.618022639539504,14.761321527598803,-0.00015647231230968872,4.296445639919749e-05,0.02169472497088701,0.10299963898056212,0.06284370422363281,0.03860010842903877,1.686359,1.6987998,103.359375,2.014276486255713,4.460632456892612,0.6833453154255106,0.27078715111829377,14.748996487483884,8.615436394788818
2,e05f87be014da23b4d749f210797f6185d9f959f,-154.38017,143.29063,-44.611694,44.01996,-4.4693537,22.08588,3.3211708,8.403795,9.624018,6.583852,11.287697,11.247253,4.944873,35.80829,23.777967,13.142394,15.7649355,15.893946,9.906257,10.830843,8.822004,8.616731,9.764195,7.5867844,8.325231,8.155858,0.21919098,0.18255058,0.2245456,0.16930318,0.30501232,0.33686543,0.25927314,0.41894287,0.22907455,0.21326947,0.19519608,0.25583014,0.120613895,0.10776166,0.09214064,0.10029264,0.1772095,0.13902035,0.11139101,0.18808112,0.08002863,0.10259529,0.12747349,0.111306906,5832.091426849365,1788.5033995538297,9.149747,77.792946,0.04763784483103557,0.03652151557003117,0.09656999210579072,0.04604490923297449,2884.0157751994893,928.8463333106419,2890.9838304415293,628.0143609138612,21.90203640591026,15.184786497046582,-0.00020663487997029566,7.149553175909684e-05,0.03386947387660281,0.10187278946824177,0.07248992919921875,0.03971966581274541,1.7893175,1.9891647,117.45383522727273,1.629584552999221,3.1288988343793376,1.7066520413401334,2.9705138712342176,14.529886621315192,8.537389529397732
3,cb12dd39f7d19cfe88e966e5fac5aa4590e071c4,-224.18913,153.49385,-47.80955,49.98308,-10.197958,18.066288,-0.7897194,0.9465462,4.7556086,-3.3266163,-0.63975734,-4.93735,1.6005738,38.06977,17.08465,12.255317,10.457984,18.013393,10.830634,12.418908,8.478849,10.557835,8.496245,8.20808,8.663459,9.131184,0.36994997,0.32889375,0.30772334,0.35616627,0.24405465,0.27897972,0.17243981,0.22413883,0.26796186,0.14883861,0.21473777,0.21304198,0.10456709,0.07716717,0.082931764,0.097667746,0.08441904,0.09789656,0.09833728,0.082513936,0.14266011,0.09267675,0.14108415,0.123513885,6040.517692565918,1831.6325344329812,2.4034467,13.337245,0.03123588754307034,0.02789534915292609,0.039491722036734525,0.017964905658923277,2865.3547207890215,918.3215692625204,2923.5546854288177,595.2992421348946,21.48974782860625,15.150233692963843,-9.812386453462332e-05,3.5340984892022915e-05,0.009935782964574995,0.10435264161102938,0.07815170288085938,0.03949413522062901,1.680085,2.0776486,112.34714673913044,1.9054327302231229,3.8756810648892506,1.1090782458930806,0.9938122572022898,14.395949701092558,8.46866388695476
4,519038c91af391089c44be67ab7af7b5be70f959,-184.17102,120.79842,-23.06458,42.780334,1.1192521,31.442944,-2.6788425,14.603323,-0.9732543,4.7412252,2.4713554,3.665915,0.06276679,65.038956,23.55654,23.133236,19.302794,24.390718,13.940293,15.488934,12.312081,12.094049,11.7142935,12.492841,12.5289955,10.054499,0.1286111,0.20841727,0.22434632,0.34508175,0.33908463,0.31085533,0.32734126,0.23635566,0.2784267,0.21790843,0.24176994,0.22688551,0.092811316,0.109553814,0.087207854,0.124033496,0.124276765,0.09902612,0.11788509,0.09742384,0.13074085,0.1339816,0.13329113,0.12646085,7104.182224273682,2557.4104530582995,8.865938,81.14077,0.04044173303961757,0.04264205463626761,0.09327999666554349,0.04850257557524721,3238.181319404617,1084.29907508346,3478.4891438901736,785.5461616007992,23.187661478261237,15.334976496326382,-0.00017144540309758696,7.086838389244023e-05,-0.008438884373244833,0.06745459249325833,0.08228111267089844,0.044645478792643904,1.806727,2.2857373,117.45383522727273,2.523579584557034,7.782316759610623,0.7931179163958594,1.5670099843195686,14.57692704668074,8.564596089933996
5,d1b8031fd2acc06df2ede4d9fd91fd75dc2f5f7c,-227.83208,139.88223,-56.05248,78.630554,-4.1290026,17.347294,8.253443,-4.8981676,12.318913,0.34312496,10.243555,11.48568,9.982443,25.788164,14.028229,11.183602,10.049811,11.447361,9.890986,9.868615,9.547549,7.521793,8.22466,8.174583,10.895021,9.121689,0.28157562,0.20611694,0.28360996,0.18452123,0.25766954,0.2277708,0.23245764,0.34012383,0.2595077,0.29935104,0.24735999,0.22976983,0.15888858,0.09580104,0.16281222,0.13110463,0.12772773,0.13066098,0.095220074,0.16783117,0.13039848,0.14462754,0.10237619,0.08761109,6270.275287628174,732.7376877006693,1.9936972,14.048386,0.02113242771489642,0.014895216916183679,0.046219586325859235,0.016327718169514022,3054.114573237377,569.3154155446488,2816.6603130690833,245.67123724939367,22.430136463789015,15.77721517744072,-0.00010346187459305963,2.541357903306645e-05,0.022834473330856347,0.07544023504001444,0.08670978546142578,0.035426892767988834,1.5935456,1.6801764,120.18531976744185,1.6227118502939517,3.0574742879724006,0.7114211444286896,1.077365069864662,14.560289019562628,8.545140912396846
6,1dfd0f5940e78684ee812b46f50226fad6821426,-149.48662,115.311264,-36.68922,66.43343,-27.26977,37.573536,-12.791787,21.46709,0.57261086,8.024694,-1.1669862,0.04382038,8.770846,28.858055,20.42639,12.247086,14.301685,16.06441,9.278806,7.132413,9.356199,8.771675,8.582021,9.277785,9.496691,9.148827,0.33054534,0.10308719,0.16880168,0.16991119,0.19692616,0.30716327,0.18649757,0.25670728,0.2680258,0.2980914,0.39838615,0.23457511,0.14978941,0.09231388,0.11604203,0.089555226,0.14648512,0.14547701,0.11548553,0.1311846,0.10550389,0.13300112,0.22540285,0.09626717,8675.12191772461,1578.9501994556226,5.816734,43.20327,0.04520538043902017,0.04533179073843875,0.06826826991707188,0.026159241830920357,4288.66835381552,1076.8609374997702,3781.576172644335,404.605795588299,22.252541869722585,16.095122089535728,-0.00016750235656867233,5.362750616890598e-05,0.009426762864420964,0.12794295282862359,0.1309762954711914,0.06064456950080081,1.5520861,1.4014897,103.359375,2.343540333656413,5.538340178964438,0.9162221657009194,0.5975487991011574,14.54252100840336,8.571414532970076
7,be89235c6609de57ea325338f0875d32c2e77b51,-191.80045,159.44794,-52.818584,53.94232,-9.926786,19.290472,-0.9406668,2.5257435,5.449084,-5.161441,2.6203144,5.359847,2.6823401,26.762386,16.916336,12.512134,9.426907,12.688187,10.927443,10.977549,8.714736,8.9406,7.696043,8.1792345,8.762614,8.854362,0.42918167,0.24051118,0.15149072,0.25272617,0.18565568,0.25688037,0.16258076,0.3443276,0.25012583,0.23042509,0.31189623,0.26154396,0.14480874,0.11709573,0.07334515,0.12061558,0.09353088,0.11455859,0.08785641,0.11829368,0.10785638,0.112081476,0.10305783,0.10647157,5388.986892700195,1435.6162495172798,3.8772213,23.669527,0.03686502873253128,0.03857422933779873,0.04965312427627392,0.017408725258901237,2555.4397225134994,659.5354375397685,2699.872416078336,492.6519824511074,21.59914562619499,15.197794600006523,-0.00013136910235043807,3.686389342007882e-05,0.04922342969372043,0.09723511954378758,0.07323017120361328,0.025496744251926638,1.6342857,2.0210848,112.34714673913044,2.1106023126477322,4.498098927917215,1.8004789439440791,5.249165038632876,14.501276320051831,8.529269709843499
8,51487a9ffcc6664130d9f34da131d1a8e6e2ec33,-283.79266,151.74838,-45.17225,34.509544,-13.8936825,15.173139,-7.6447706,8.000949,7.4192686,-11.63444,3.2804077,-5.802207,-2.2562382,55.07473,15.551747,25.61273,16.636492,19.660381,10.307121,10.966918,9.700642,10.893982,9.041998,10.041528,11.808274,11.301908,0.39893806,0.21267469,0.23639607,0.33034894,0.18011382,0.2521345,0.15342224,0.33596176,0.22327785,0.111133955,0.13936666,0.15512522,0.16969417,0.15071781,0.17412423,0.18885507,0.11419617,0.19839038,0.11362808,0.16784629,0.21238463,0.097192526,0.11336661,0.118768364,5206.829452514648,1631.8696475684399,1.6818933,12.465868,0.021164361426488382,0.027065842867455583,0.039368902927784354,0.019018031578474363,2552.544647107338,700.5014967520772,2764.819323879503,485.26957952330815,22.97780022928441,14.945843466183733,-7.484858043972196e-05,3.590064380565383e-05,0.04810630463837254,0.166829897812825,0.061911582946777344,0.02536111608670061,1.7485336,2.409718,126.04801829268293,1.9345669187942474,2.635459997053248,0.31146306595682255,-0.6152813882387691,14.804053380915207,8.390556356155132
9,3f8107cea4bd6478566cf675c32756402e582e6d,-161.27722,134.54558,-54.297108,41.773727,-23.568079,31.864746,-14.097723,23.597027,-7.653721,11.901617,5.296079,2.205506,10.625238,23.66783,16.403723,15.003689,10.831485,12.507384,9.635114,10.500118,11.806585,10.771343,9.5555935,9.563368,10.012019,9.343713,0.368641,0.23148274,0.2799506,0.20973559,0.23332238,0.20603123,0.14470236,0.30976626,0.22706017,0.29276285,0.30611795,0.28572407,0.11749712,0.0962412,0.123406,0.09264259,0.10953217,0.121475965,0.09927029,0.1457897,0.11897838,0.09141727,0.16917464,0.07673093,7471.289691925049,2248.4486916874753,3.8933945,23.477995,0.03650642060140695,0.024615800313307075,0.06206335399495255,0.019989191123209595,3485.722690363013,896.4617336990655,3480.4488981170966,632.9495850536767,20.88063943078292,15.566833000981715,-0.0001593836858837959,4.408585893344612e-05,0.029566614072420627,0.09331683428488868,0.09762744903564453,0.04387262913275247,1.44815,1.1079963,117.45383522727273,2.2393014575157975,6.137478857745972,0.17851584537442852,-0.6865177972131007,14.341988304093567,8.424384083203963
10,9f38063de5fd71193c2697b74c1f1f2f6bd5e4e1,-251.01558,150.3021,-31.719294,40.792168,-17.662548,13.658432,-0.92459697,4.6224732,-1.1712313,-2.3960655,2.600289,1.7365322,-1.8962774,42.140312,23.299246,20.619339,15.603694,14.664253,15.139602,11.877487,12.846542,9.655216,11.6956005,11.763048,11.250288,9.664733,0.29145926,0.3404886,0.19453037,0.28606337,0.121401384,0.23364417,0.23433161,0.17963329,0.27547598,0.2630725,0.3287319,0.24795333,0.11123627,0.11248645,0.12804586,0.18685281,0.10431963,0.13450734,0.12885013,0.11363157,0.15083283,0.11680701,0.1280966,0.1437664,5953.897018432617,2325.2355134274276,2.1255517,14.912461,0.02633701343260849,0.021050718388413405,0.04120223676742145,0.01887396758467435,2817.8133652076526,1089.823939522904,3017.6675280934433,721.5012424931176,22.374735502216417,14.897435409741053,-8.534957343268808e-05,3.2758427894877293e-05,-0.022655517919789318,0.11095744437130307,0.06651458740234376,0.039132772625721776,1.7850354,2.1035938,105.46875,1.3085009113585744,1.3839923610428917,0.6959084361281609,0.3549249699963468,14.316240273887335,8.428091346552032
