,file_path,mfcc_a_0,mfcc_a_1,mfcc_a_2,mfcc_a_3,mfcc_a_4,mfcc_a_5,mfcc_a_6,mfcc_a_7,mfcc_a_8,mfcc_a_9,mfcc_a_10,mfcc_a_11,mfcc_a_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_a_0,chroma_a_1,chroma_a_2,chroma_a_3,chroma_a_4,chroma_a_5,chroma_a_6,chroma_a_7,chroma_a_8,chroma_a_9,chroma_a_10,chroma_a_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,rolloff_a,rolloff_std,melspect_a,melspect_std,rmseP_a,rmseP_std,rmseH_a,rmseH_std,centroid_a,centroid_std,bw_a,bw_std,contrast_a,contrast_std,polyfeat_a,polyfeat_std,tonnetz_a,tonnetz_std,zcr_a,zcr_std,onset_a,onset_std,bpm,rmseP_skew,rmseP_kurtosis,rmseH_skew,rmseH_kurtosis,beats_a,beats_std
0,6f32eda36e854efafd0a0c7ed0b0c4f375393942,-156.6929,101.28335,-8.506377,69.889206,-8.556238,37.406822,-10.640021,39.626534,1.1332797,16.108562,6.0075464,6.6470056,3.129719,26.312359,18.342514,14.671575,11.640422,9.8460245,9.874753,9.010093,9.219507,10.101235,9.626321,8.870332,10.53572,10.333023,0.16316389,0.27714816,0.3469996,0.16813521,0.18251777,0.116387986,0.1730962,0.19853354,0.22826238,0.4017682,0.35609245,0.2674665,0.09240097,0.148971,0.14977166,0.12907062,0.15947862,0.1018759,0.13400057,0.15081804,0.118103124,0.13459785,0.15382585,0.13314362,9185.929870605469,2076.5843557783587,10.968896,73.90379,0.026781542059068807,0.01577670302491645,0.12667058480642077,0.03850982660883132,3830.896094490587,953.69375087643,4268.490283475447,538.0275053270653,23.20568859010755,15.695109466524347,-0.00020055650335451327,5.523208730266595e-05,-0.01834346340089157,0.10157483320680916,0.06641292572021484,0.03237205739973794,1.6449902,1.3376002,156.60511363636363,1.912430237795582,5.42323418815935,0.18801637648945577,-0.19706983414897916,14.87162705774951,8.533421510375996
1,6e55b7029a9deb175aab8f8bda7d8bc3424f584e,-283.10352,143.7691,33.89822,47.830696,-3.947029,20.656078,-1.3593756,9.829669,5.4064317,1.9774017,-2.9405067,0.09470739,-2.8948379,22.608221,19.828115,12.211896,11.316216,11.86964,12.287813,9.971297,11.819514,13.675415,13.528158,13.88154,12.505718,12.1347475,0.09513174,0.35176367,0.20481363,0.10745144,0.26265264,0.07966987,0.16107997,0.09607523,0.2202313,0.40704408,0.09125193,0.22956927,0.14122005,0.16560058,0.20055345,0.169075,0.25105566,0.12932114,0.21492562,0.16798392,0.2144648,0.23521735,0.12765384,0.20008549,3652.2078895568848,2124.627771320234,3.7566464,27.58776,0.013590110509157743,0.011564743770934102,0.06837127976600507,0.03045525710689934,1698.2531005235578,557.220106675654,2887.149824588864,580.498134664075,23.149556260029158,14.247383941018692,-0.00010048058512268755,3.735788260533127e-05,-0.01652686554612869,0.1997682198517827,0.024950218200683594,0.010843211115936516,1.4195054,0.957875,135.99917763157896,2.41820644061166,7.2458702794647945,0.880941483440519,0.9410020832715946,14.32463261921684,8.352175983704479
2,6d2640fb03879c1969fea5c455e7079f6dfc2e4d,-290.04523,193.57419,10.660639,-12.708102,12.259125,2.5236914,-10.996023,-13.543219,-11.762897,-12.621224,-11.826342,-11.882002,-11.960342,23.316711,17.034487,13.716058,12.19643,11.776053,10.608013,10.605563,10.111777,9.024139,9.626892,9.414785,9.997041,9.509135,0.22321954,0.22658911,0.24100444,0.3288444,0.24464965,0.3282055,0.16179577,0.21024267,0.18913487,0.14137924,0.21595904,0.11462661,0.14007622,0.19435932,0.17458989,0.21733074,0.18524285,0.22866769,0.16207007,0.18943979,0.18186839,0.13718396,0.15388516,0.14026232,1842.5692749023438,624.3195757015712,3.645719,26.427961,0.014228020156475138,0.01093686402999554,0.06869843039943789,0.03335830319721606,1141.7660123549308,320.37722721780466,1517.5878523004474,264.2097105861415,21.784161818935374,12.0807626525502,-0.00011390268440303974,4.823503376787462e-05,-0.002113044209295611,0.15970911529370857,0.03539066314697266,0.01757191703101347,1.306599,1.4786204,166.70866935483872,2.1463442550403786,7.833945758140807,1.5604610665412673,4.1952682663753675,14.59245149911817,8.324363037149682
3,68b259e3c3f184cf28a7d044067e3e48542ba436,-141.55179,154.10138,-37.01821,45.313046,-19.198923,27.119495,-12.441426,11.1618805,5.529462,-3.0418773,2.5892162,-3.9353669,7.4694796,26.468826,18.89685,16.330929,12.7703285,7.893924,10.299362,8.87677,8.772395,7.677714,8.246247,8.525893,8.515609,7.938342,0.26159543,0.36506888,0.3252429,0.27247724,0.25710344,0.24416785,0.1802024,0.1527384,0.15919757,0.15470207,0.23138547,0.26580086,0.104006276,0.13028176,0.13183907,0.13478087,0.16951907,0.14572915,0.14681706,0.15169676,0.12637855,0.15013558,0.19492747,0.1699702,6402.603549957275,2005.2379654919944,10.792998,76.11869,0.047265545616239316,0.03583500006630005,0.10567021305699972,0.034667157516272265,2914.55779817938,854.4477798781629,3222.3606572248827,588.0562685873397,21.837688834687036,15.1507533621999,-0.00023192665703028673,6.880355469200972e-05,-0.01915908704874175,0.13092309003557356,0.06712055206298828,0.03177553261196572,1.6431755,1.5135669,129.19921875,1.7294381458539352,3.489423241691714,0.25246469874893684,0.02250380461516377,14.252076449627468,8.349186284389447
4,6c0d342bb15cf332c663d708c91b2789c1e87151,-192.04112,153.592,-18.49098,47.48935,4.1655836,15.573914,2.5028613,9.112304,2.2427948,2.5681357,2.084202,0.088592865,4.3946047,29.130592,17.703371,14.508519,12.509111,9.746008,9.538097,8.737827,7.9407835,9.0721035,7.5110884,7.487444,8.0813465,9.722889,0.40223783,0.17085913,0.3265438,0.14786594,0.15137091,0.24686041,0.19166367,0.38118356,0.21552566,0.20000601,0.27437103,0.16191372,0.19588163,0.0974483,0.111919194,0.117453516,0.11623532,0.14825274,0.11854996,0.12299268,0.13208173,0.1391626,0.19932698,0.10619553,5171.812763214111,2091.208279495217,8.701599,82.612816,0.04663377252210944,0.049655177092682704,0.0752816544571971,0.029574274912025106,2356.49511289076,886.0826241349678,2909.524639565837,720.4249359174264,21.39290771830173,14.623770647239173,-0.00015564213652132403,4.265268912952453e-05,0.04485438993422822,0.14946456625735696,0.050902366638183594,0.027252695333637993,1.6471077,1.8659014,178.20581896551724,2.091544844061457,3.928954304420099,1.7704595035325017,5.090378906434536,14.517485054627912,8.477240650511497
5,68ecb7b9e590437520b3aacef44f1f17b2f207b0,-265.38696,181.16687,8.077403,28.989578,8.972843,23.183462,-2.064452,2.4697673,10.418286,-4.533329,4.917585,-3.5485675,3.870977,29.04062,16.846209,14.434615,12.5532875,11.064621,8.5392685,7.4055953,7.711352,7.956497,8.33088,9.617168,10.667002,10.910344,0.2858594,0.28633112,0.25422314,0.18378438,0.18959112,0.27629575,0.23678955,0.28972632,0.28321898,0.1598828,0.13664977,0.15943669,0.19102903,0.1337111,0.22390378,0.1503219,0.15682378,0.1860347,0.13793217,0.19474658,0.16592444,0.1282335,0.16391933,0.14707324,3132.7866554260254,2183.908638140261,5.4299517,38.9471,0.023522665355071103,0.021662262022404764,0.07562914854564451,0.032668122916156145,1506.0621144472354,703.6541407189012,2333.816429000408,862.6750537734445,22.961901769147854,13.711116060915186,-0.00012114383843296164,4.2261201462547315e-05,0.007232286144717174,0.1391525492794154,0.02675209045410156,0.014036849418375455,1.4822953,1.5084352,117.45383522727273,2.662459974213681,8.766821370219459,0.4151941545896298,-0.2546615654903652,14.233417557499191,8.225112049740586
6,6c13920a65c03200eb5f3773eb09fe5d024ba8cd,-336.59277,151.65262,62.634083,32.370857,10.496725,13.252878,11.396286,2.5060217,4.170497,3.6451893,-1.5159056,-3.6669915,-6.547755,24.219788,25.698587,13.81736,18.018892,11.826047,9.746975,11.091514,9.301006,10.22455,10.907921,11.841517,11.467039,11.158436,0.25224772,0.23786905,0.1469252,0.2554689,0.072908565,0.28645357,0.15220414,0.086851195,0.1616867,0.14196329,0.27477685,0.14863506,0.2619333,0.22199525,0.17698206,0.28106517,0.14502157,0.26777506,0.21629383,0.1402,0.1818577,0.1639908,0.23474266,0.16885577,1659.4949913024902,1743.783871128649,5.026271,52.189808,0.0104069579878544,0.009613228936600476,0.07790070107633001,0.04824666436212437,1005.4215298712763,511.945492610822,1889.6080149480076,735.7717706054856,23.705876996362623,13.442588181288025,-0.00010014556653175393,5.006074156039332e-05,-0.027723987549720528,0.223976405455116,0.019074249267578124,0.009203797463116238,1.3421196,0.7779535,120.18531976744185,2.6723321652042262,9.54934605410053,1.2210358564660202,2.4142560002452234,14.69537638006022,8.60786947902402
7,65f074563de7fbe7708a9dc77440c138b4935a57,-167.65263,176.5961,-33.600086,39.511528,-2.5943594,21.776001,10.804439,5.789941,2.6043103,-4.53006,4.3089576,2.4404416,6.38897,21.4965,13.424189,12.863597,13.079513,8.2684,7.1862445,7.673081,9.161843,6.916939,6.69113,7.1931906,9.230041,11.502341,0.19540921,0.0872222,0.28218275,0.049254343,0.1859467,0.36415702,0.16208169,0.36814746,0.08712898,0.3215716,0.20419905,0.036132243,0.2050602,0.09915896,0.31379429,0.07598167,0.107778236,0.25945637,0.095610216,0.26769832,0.0894097,0.12567987,0.21454303,0.05902901,3950.299758911133,1370.488495171577,11.645273,61.591076,0.03726336250329816,0.02997637597105323,0.1258791850425494,0.0204031968796185,1883.7689975944982,501.5875773399186,2449.901801523893,444.8333648116371,22.231616177408128,14.07656094370734,-0.00025386071278429357,3.607761643936374e-05,0.03142118616576969,0.21588940276380203,0.03987903594970703,0.013867356846203086,1.4213524,1.2667435,120.18531976744185,2.5098302319028845,7.063256009694438,0.5493739855003228,2.3394352211869753,14.710038049117951,8.562339897179788
8,60db3b1aba79d3d6ab7b2fb3c6b25ff36b62af70,-275.89716,143.20015,39.484993,54.20269,7.5843887,20.09428,7.2994027,6.5719695,0.089280486,0.14157343,-1.2755212,-3.6812687,-4.405687,27.760239,19.239367,8.83487,12.532123,10.663883,8.283879,8.637443,10.605293,8.168816,9.989794,9.236533,9.0658,9.197087,0.3052811,0.2892937,0.3216139,0.3030241,0.092683315,0.13211134,0.043952145,0.15927109,0.17016575,0.15070648,0.1713209,0.10891898,0.20379539,0.21179622,0.30555332,0.2192967,0.15918301,0.21137157,0.087918065,0.19660263,0.1892658,0.15113078,0.23908652,0.14683296,3262.9700088500977,2005.2501572560282,7.20946,70.747345,0.015564141794241416,0.012240572724293918,0.09254480182193761,0.05342360345825649,1531.6639385391359,541.9574703234464,2784.3277928793777,596.1281453082361,22.59946461090683,14.078490849176786,-0.00012283113285852938,5.388446291314788e-05,0.007491218533130246,0.22375271068674377,0.01858940124511719,0.009812675907948052,1.282208,0.64610803,117.45383522727273,2.201066393066962,6.298388942230984,1.12951903818222,0.7197411275317833,14.670007037297678,8.65271936388238
9,62f8299dbf2082535f6bad44bcb178e861b02680,-253.20918,172.1363,-26.9333,57.610207,14.982733,4.6560683,8.494527,-2.061048,7.285267,0.45413828,1.8156502,5.243371,5.7718363,31.220207,21.57852,13.543931,13.286752,12.361139,10.517452,10.890416,11.579539,9.306717,9.246985,8.4204035,9.394003,10.278304,0.12901095,0.04370483,0.082200706,0.10039548,0.040387295,0.13239908,0.05581423,0.23860554,0.37732893,0.41805077,0.5803192,0.3277871,0.093820825,0.06552175,0.115735345,0.13545197,0.064723626,0.11233395,0.07568428,0.117623955,0.11555118,0.059132714,0.1296216,0.0958309,4474.616432189941,1791.3380468634693,4.0717454,23.191807,0.026863340293123223,0.021152705892130894,0.06371066397612817,0.025394804910165186,2050.0655425396994,868.0591894187439,2441.151995785357,676.3169836859025,21.615844730551064,14.513555381144302,-0.00011507163905891582,4.090045413151576e-05,-0.028205261603827546,0.10924578246707413,0.041944122314453124,0.023804683555392843,2.0244184,2.6577392,117.45383522727273,1.3206824304305902,1.6140968984295974,0.2602929729167674,-0.23493588945356647,14.527684729064037,8.548959462225092
