id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon,https://p.scdn.co/mp3-preview/6806855988e246016413cc8a34a2afe862f3988d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4,10
6L89mwZXSOwYl76YXfX13s,Basket Case,Green Day,https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4,10
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,10
64BbK9SFKH2jk86U3dGj2P,Otherside,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/90076510970ced8308b85cd65776f75b99d97e7f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,10
7j31rVgGX9Q2blT92VBEA0,Teenagers,My Chemical Romance,https://p.scdn.co/mp3-preview/e6d0c0da5d86b2d19ee4456344ac9527a72b2a7d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,161920,4,10
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,https://p.scdn.co/mp3-preview/998d3604b68754c11bc0a9af64291ac1f91fb0d8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,313573,4,10
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,121160,4,10
20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,237027,4,10
6QewNVIDKdSl8Y3ycuHIei,Even Flow,Pearl Jam,https://p.scdn.co/mp3-preview/140dbc5942f12eeec92a28648e5b325ea71fb6ae?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,4,10
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day,https://p.scdn.co/mp3-preview/2e9359e821b18414235d870a4d2671f4337c8682?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,4,10
