6sQv6XMvSp0PB0cuuS6Dfz,City of New Orleans,Steve Goodman,https://p.scdn.co/mp3-preview/271a6c60c364a66f2e0e041161047ceb4d0d24ae?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.477,0.797,0,-5.316,1,0.0365,0.0828,0,0.185,0.705,88.823,230960,4,9
23Uv9xqLumDqEBNIdHhCcO,I Hope That I Don't Fall In Love With You,Tom Waits,https://p.scdn.co/mp3-preview/380d21aa9ea6e8013114a6f4c3bbe2e6f04748f8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.539,0.296,0,-11.74,1,0.0253,0.918,0.0056,0.127,0.545,85.622,233533,4,9
6hwvSseQYltJDb1d7JMbkj,The Rising of the Moon,Tia Blake,https://p.scdn.co/mp3-preview/3ef3b833237aa7dd710773ea1d33c194ed08919f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.514,0.0387,4,-22.835,0,0.0373,0.928,7.19e-05,0.103,0.248,146.789,235573,4,9
1k691v8ChLgDiuLLKnjyj6,In Spite of Ourselves (feat. Iris DeMent),John Prine,https://p.scdn.co/mp3-preview/3b8826b0edea9ead06d71fab8b307bff1e06ba99?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.547,0.277,0,-11.327,1,0.0429,0.67,0,0.091,0.684,153.974,213600,4,9
5xHKErgmLzIqY6qQcsZRKW,Traveling Alone,Tift Merritt,https://p.scdn.co/mp3-preview/de50f8fc92f60421388d9c6c2b5d2647d3280fd7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.509,0.31,2,-11.033,1,0.0404,0.85,0.000268,0.102,0.227,80.529,284960,4,9
3g3xDtGtU0asKw6iYCYiG5,American Tune,Paul Simon,https://p.scdn.co/mp3-preview/1cd6a98024f87e6106723228c2b6b1194d44d42c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.383,0.208,0,-16.035,1,0.03,0.818,3.36e-05,0.189,0.219,84.699,225133,4,9
27876bQcDNkZhWqvF0zfFN,Wildflowers - 2015 Remaster,Dolly Parton,https://p.scdn.co/mp3-preview/e9122cfd3906c9571311307f576e155823052788?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.609,0.368,10,-13.338,1,0.0294,0.762,6.28e-06,0.335,0.618,90.373,216573,4,9
3D8dwH690MXQRhtIZTSS9c,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",John Denver,https://p.scdn.co/mp3-preview/9f4b4fcb586c47627411cb22c961c84996190daf?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.406,0.188,7,-13.039,1,0.0324,0.852,0,0.105,0.629,120.757,245533,4,9
2C0RI3XZYEyne1ZQ4YBl5y,Take It Easy,Jackson Browne,https://p.scdn.co/mp3-preview/bef714b4a3ee5c3c596997639f817881d8844f20?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.531,0.561,7,-10.218,1,0.0275,0.044,2.1e-06,0.5,0.367,138.335,231553,4,9
7sdNvO1i0MeKRseYnuebGN,Those Memories of You - 2015 Remaster,Dolly Parton,https://p.scdn.co/mp3-preview/99c8c97de9065f2420240f89a1f6098afcdfa3d6?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.583,0.323,4,-14.605,1,0.0307,0.49,6.06e-06,0.381,0.69,139.582,240813,4,9
3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,Bob Dylan,https://p.scdn.co/mp3-preview/b2f4f1a18d1716f2343f6d9246b810f11b6b96f0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.39,0.31,5,-14.545,1,0.0676,0.794,0,0.379,0.584,177.515,330533,4,9
1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,9
3yVKhOMynkNEGYlQo6JMbY,Mr. Tambourine Man,The Byrds,https://p.scdn.co/mp3-preview/e9d00c256887359930cf581d09d0901cb81ad91c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.435,0.544,7,-10.91,0,0.0342,0.465,8.56e-05,0.148,0.55,112.486,138594,4,9
0IUUapIjKLoabLfIXGO1C0,He Was A Friend Of Mine,Dave Van Ronk,https://p.scdn.co/mp3-preview/1b6bbce752c8b5eb22118d592fcbaff1cbf82049?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.446,0.315,6,-17.014,1,0.053,0.837,6.02e-05,0.697,0.541,76.117,201373,4,9
7wJpqjqk8QbHpCakY1ZacY,At Seventeen - Remastered,Janis Ian,https://p.scdn.co/mp3-preview/52f8931b70721b99a16f2abcbb7232699bc6e339?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.616,0.271,0,-17.212,1,0.0458,0.876,0.000126,0.113,0.336,125.021,283880,4,9
5Ngtz0zVpq2Wf7EtvzZfKk,A Love Song for Bobby Long,Grayson Capps,https://p.scdn.co/mp3-preview/37a10b70a803f7e3c233d22a031a4af68ac67f79?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.473,0.25,7,-12.642,1,0.105,0.865,3.25e-06,0.107,0.46,66.715,293493,3,9
0hhzJEusz6r7f0eL1Uc8kw,Here Comes The Sun,Richie Havens,https://p.scdn.co/mp3-preview/3feb230b139bb82c4f3c777cb020f1fd7440b3ba?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.698,0.643,2,-16.985,1,0.0649,0.803,0.0799,0.704,0.714,128.22,254000,4,9
18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,https://p.scdn.co/mp3-preview/669fd8752af0d8d1e75272aefe1e15be7d51c029?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4,9
6iI6NXjtI3IkjK2k1juqaX,Once I Was,Tim Buckley,https://p.scdn.co/mp3-preview/74eb110d9825b74f99044645e85ef9e9f21fe958?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.34,0.427,1,-10.042,1,0.0312,0.11,0.615,0.122,0.404,120.646,203187,3,9
2XKUNFRqUFg9ugFI3WWzWQ,We Shall Overcome,Pete Seeger,https://p.scdn.co/mp3-preview/5eb3f8a8f16f7e32bb8dc0bcd9ad2e0d31f6f108?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.406,0.183,0,-14.177,1,0.0313,0.829,0,0.113,0.337,126.346,282227,4,9
6qRmb4uhIUaWE5LySgSfQS,Train Song,Vashti Bunyan,https://p.scdn.co/mp3-preview/72b197f0894bf4021b91913238334595932fb1e9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.582,0.391,4,-9.933,0,0.0327,0.869,0.000241,0.116,0.529,103.181,137360,4,9
4mVWOXS9KKhvDIdmkYUBOQ,Urge for Going - 2008 Remaster,Tom Rush,https://p.scdn.co/mp3-preview/4ca5c7f169ca9fc12990be494b6c07d4633cc8ea?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.59,0.121,4,-19.948,1,0.0343,0.846,0.00928,0.111,0.154,97.649,351773,4,9
0yQ9vnsC7CyPMwAQ3BlWcJ,When I'm Gone,Phil Ochs,https://p.scdn.co/mp3-preview/728dfb693dc1bf428cdeb33bb68018ebe2935ae7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.404,0.093,3,-19.036,1,0.0486,0.95,7.53e-05,0.717,0.244,80.224,253573,4,9
52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,https://p.scdn.co/mp3-preview/07332ab6db98a95764049b8934613d9b356df2c7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,192053,3,9
6aXKbU2QGsOms8UT3eUOg1,Catch the Wind,Donovan,https://p.scdn.co/mp3-preview/2c2ab57edfdc80004751dcb82627a37bf5c07218?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.385,0.305,3,-12.167,1,0.0296,0.452,7.69e-06,0.128,0.547,173.377,173813,3,9
2oV3mzorzJTZa3gmp8vAJl,Stoned Soul Picnic,Laura Nyro,https://p.scdn.co/mp3-preview/5b20029514d877e3e90aece71f580e79e82c8490?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.384,0.443,5,-7.75,1,0.0379,0.764,0,0.106,0.712,175.671,227000,4,9
7AL6qzIDHIX7pEUWrzNiIs,Hurdy Gurdy Man,Donovan,https://p.scdn.co/mp3-preview/a239d072c0db0d4f70b1dab190b0f5deaa2f6231?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.405,0.463,0,-16.167,1,0.0542,0.00379,0.0442,0.392,0.542,79.451,193467,4,9
6IcU0P6Ec5CM9qVqV1U2JH,That's the Way That the World Goes 'Round,John Prine,https://p.scdn.co/mp3-preview/5dd59282802d2404578a5cb2afce10d6a6e21ee3?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.636,0.454,5,-16.548,1,0.0615,0.599,0.00343,0.304,0.806,155.547,200240,4,9
6g0eFcVGt4tSJpJ2FdIQv0,The Last Thing on My Mind,Tom Paxton,https://p.scdn.co/mp3-preview/8fb45fbc881150c1e78ce25d3c4a38896febc3d9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.561,0.0901,9,-15.923,1,0.034,0.889,0.000174,0.111,0.444,82.155,186320,4,9
5UpLOf9rrTbVmtDdULOfrm,Love Is Our Cross To Bear,John Gorka,https://p.scdn.co/mp3-preview/3c884e73f855f44a1679dc9d9706801dccb39723?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.601,0.0557,0,-18.226,0,0.0368,0.914,1.05e-05,0.101,0.206,137.386,256560,5,9
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,https://p.scdn.co/mp3-preview/ce31ae784cc3a4a3958a6ae24e5a9d6d664b8508?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.525,0.216,6,-13.551,1,0.0301,0.837,0,0.107,0.328,106.761,185413,4,9
0AXZ0NEEylEhBda574NrmG,Swimming Song,Kate & Anna McGarrigle,https://p.scdn.co/mp3-preview/81b1d2080591c5f4cebaaed291404aa3b9595ef0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.675,0.351,0,-11.139,1,0.0287,0.89,0.0173,0.076,0.754,97.441,149933,4,9
6oZaeLPOAb3Rn408f3IQiB,If I Had A Boat,Lyle Lovett,https://p.scdn.co/mp3-preview/2b2d93c3949a3be224324a389ab96eb6436e92a5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.473,0.323,4,-15.639,1,0.0374,0.337,0.000187,0.364,0.493,92.058,190227,4,9
