id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
2Z4aQJh0kesRMookvtfR4y,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,https://p.scdn.co/mp3-preview/bf5b9e36e2f9b93f12dd73e80347e5b15828bc6b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.302,0.119,9,-18.059,0,0.0386,0.975,0.887,0.11,0.0381,94.4,820853,4,7
0S0YKiEdR9cT9pYgEaTevF,O Magnum Mysterium: O magnum mysterium,Morten Lauridsen,https://p.scdn.co/mp3-preview/db6ce746f22800aafbfaeec7b14aecc8046903cc?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,415800,3,7
1CSaCKPIp2yCIDL3t7Fyau,Barber: Adagio for Strings,Samuel Barber,https://p.scdn.co/mp3-preview/d7647b9586e5fba1acb051c0b53e538cd6319431?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,537427,3,7
5pjDwtMPly0cNMbuGXhUOI,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",Edward Elgar,https://p.scdn.co/mp3-preview/709b7b8874809fcab8a76ef9a7339b47193d1eb6?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,478573,4,7
2nVt0n0aSj3AwZjakMvDHX,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,Aram Khachaturian,https://p.scdn.co/mp3-preview/f630d83e862704b78cee9873e61ce42cf2f7af5d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,592040,3,7
4Dcm4KMuDz0l01weeSpD4J,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin,https://p.scdn.co/mp3-preview/c9e05bb351dfdbe1544172ea1911c1951be48a24?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,642573,4,7
3MRQn2RYo2VLYMoStnLRxu,"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,https://p.scdn.co/mp3-preview/759005c6c03aa4ebaec877f61df7f36d011cdfb3?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3,7
0xX7kREWmOGBWzYNcpZwRN,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,https://p.scdn.co/mp3-preview/19a1fdb3dc572486a47d7cd01a73b2f065ad2f88?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,364093,4,7
1Xy6MHSaX3IUGGqst6RzYM,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/df3f4e548b91f1ba4fe30e1667578277be3fe3aa?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,1252322,3,7
1Oo7XEqkrwifJn17aA0ocF,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,https://p.scdn.co/mp3-preview/83e86903458eda0bd082214175d2bb75ceffdc64?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4,7
