id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
4vOoQh9MhS9pyrbvc8LyMz,Can't Tame Her,Zara Larsson,https://p.scdn.co/mp3-preview/b0ea0ae0b272441c04d31549279dc5aaadb64e7e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,196940,4,2
6ggcyYvhJCnUID8EZGQng1,leave me in the dark,Alexander Stewart,https://p.scdn.co/mp3-preview/87adeac30b140ad876be800a42fd0d53f2089dcb?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.614,0.48,9,-6.678,1,0.0283,0.332,0.0,0.121,0.305,101.741,149667,3,2
6iZ2inFhxOuHKxOlTwwhZq,Next To You (feat. Kane Brown),Loud Luxury,https://p.scdn.co/mp3-preview/4b8bc52c882051d83fd923b116b1dc41743c070e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.737,0.837,4,-6.448,0,0.054,0.223,0.0,0.159,0.575,118.998,161345,4,2
2Ggr9IfS70wYQacW8nZKPG,labour,Paris Paloma,https://p.scdn.co/mp3-preview/3a21b7883d37695b22c9a4d829c1930bb883293b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.65,0.574,11,-10.3,0,0.101,0.396,0.000112,0.354,0.441,83.963,237745,4,2
1mWISjhqdUaOCJMYrEpLJ6,What Was,Benson Boone,https://p.scdn.co/mp3-preview/a97197e399670238dfbd950f031647dfb2b72d36?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.633,0.612,4,-5.368,1,0.0515,0.331,0.0,0.117,0.335,119.891,215218,4,2
55RszydvrfNlZ2BQdF1c4q,One That Got Away,MUNA,https://p.scdn.co/mp3-preview/c8a6f5047dc99cd3dbcbc4087796bae2b665fd00?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.763,0.777,6,-4.404,1,0.0541,0.0203,1.65e-06,0.0534,0.841,114.989,232267,4,2
1POBIDmX5L8lDEQSkO1DBi,drive,Scott Helman,https://p.scdn.co/mp3-preview/04d8e6e26c72812a4493563893a948cd724245e3?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.642,0.578,9,-8.43,1,0.0381,0.546,3.45e-05,0.102,0.376,89.514,166583,4,2
4ZwgD4frTwoDdOUsjyoqAJ,Dancing In The Courthouse,Dominic Fike,https://p.scdn.co/mp3-preview/6025c0a660c88e78e6a25cfd46e6a6dbb117aa60?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.621,0.741,2,-4.479,1,0.0611,0.187,0.0,0.227,0.691,76.464,157563,4,2
3GxW7jtmUatEqM14hZdKFC,NASTY,Zeina,https://p.scdn.co/mp3-preview/491a6f231c835d12e390000b752e944687e470b1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.784,0.507,4,-6.462,0,0.205,0.251,0.0,0.0866,0.529,99.021,170367,4,2
3htVhQPsTXWAkAXYRkfRSz,Try Me,Jorja Smith,https://p.scdn.co/mp3-preview/df89dc5549f25d255eaf722afa395744a61cb2da?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.701,0.575,6,-6.941,0,0.0751,0.119,0.00133,0.135,0.634,105.093,213933,4,2
5FfgLIooERZ7rcNcwxAcdF,Hey Cowboy,Devon Cole,https://p.scdn.co/mp3-preview/646553caf306c570d3c71e77a4e2a654b8a4ab0a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.771,0.452,10,-6.648,0,0.0679,0.0274,0.0,0.232,0.904,91.006,187049,4,2
4He4Rux6cKDcijY55waOTe,Didn't Try,Alicia Moffet,https://p.scdn.co/mp3-preview/7dfa3ea65b4595e0425b2bdaee2e1896b2fdce2f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.44,0.37,1,-9.375,1,0.0512,0.73,0.0,0.0912,0.0853,120.122,175000,4,2
3CblJq8QQQ0bb7vwJu8c3v,4EVA (feat. Pharrell Williams),KAYTRAMINÉ,https://p.scdn.co/mp3-preview/2e17a2745f1ad47169a079579d0f49b9a2b1afd1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.83,0.695,6,-9.445,0,0.0716,0.0248,0.0755,0.0573,0.536,112.046,190373,4,2
2r7BOWS3bEYjEUbLiH8kVM,Red Flags,Mimi Webb,https://p.scdn.co/mp3-preview/733a89a5a7b0dc32f941969910486162c2f2dab5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,141972,4,2
2TZKvEQyTtcXLBfAk7kt8n,Everybody Needs Someone (feat. Vance Joy),Noah Cyrus,https://p.scdn.co/mp3-preview/f3e4cfd8d974fe5bfe7b2f28167f4f43bb2fec80?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.489,0.607,2,-7.146,1,0.0417,0.569,6.55e-05,0.119,0.285,104.186,178819,4,2
42QLP7Z6KvkOV7vYr8RaLD,Softest Touch,Khalid,https://p.scdn.co/mp3-preview/fcfd83425f5e2b6d54eb7100a1e783006d6e5bf0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.809,0.631,4,-7.099,1,0.0423,0.0659,0.00142,0.134,0.753,107.05,164282,4,2
609E1JCInJncactoMmkDon,BESO,ROSALÍA,https://p.scdn.co/mp3-preview/ec3accbe111dac19702411be5adb665d4cd44c0c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,194543,4,2
6ItblmqN41mj5y3FUC3ooJ,Get Better,Cate,https://p.scdn.co/mp3-preview/a04c7df71fdfd0d79715f16efb683211fb5306d4?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.632,0.811,10,-3.695,1,0.0447,0.418,6.01e-05,0.0495,0.477,168.004,171913,4,2
69CrOS7vEHIrhC2ILyEi0s,FLOWER,JISOO,https://p.scdn.co/mp3-preview/09740d259ca59790be55c998db9b4220024ec294?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4,2
3yfki4r5cgFA784trLoHnk,Living In A Haze,Milky Chance,https://p.scdn.co/mp3-preview/061703eb7db6b44823312ab83926fe7e17116fbe?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.688,0.718,1,-5.99,1,0.0378,0.273,3.36e-06,0.12,0.427,129.862,173369,4,2
69ZzhvHnSSnzMO8SMYEJWb,Mother,Meghan Trainor,https://p.scdn.co/mp3-preview/7be521f9c32f0f5166aa1ec6b7f2f236e9d8687c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.751,0.661,9,-6.131,1,0.0871,0.124,0.0,0.456,0.761,120.052,147481,4,2
5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Calvin Harris,https://p.scdn.co/mp3-preview/48a88093bc85e735791115290125fc354f8ed068?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,186496,4,2
13SfKfixPEDQBOYYtaY3Wh,Lost The Breakup,Maisie Peters,https://p.scdn.co/mp3-preview/a43373884336b969f3c0affaae0b1f20c9ea4686?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.593,0.884,4,-3.313,1,0.0767,0.0351,5.54e-06,0.487,0.607,147.092,189413,4,2
