song_id,mfcc_a_0,mfcc_a_1,mfcc_a_2,mfcc_a_3,mfcc_a_4,mfcc_a_5,mfcc_a_6,mfcc_a_7,mfcc_a_8,mfcc_a_9,mfcc_a_10,mfcc_a_11,mfcc_a_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_a_0,chroma_a_1,chroma_a_2,chroma_a_3,chroma_a_4,chroma_a_5,chroma_a_6,chroma_a_7,chroma_a_8,chroma_a_9,chroma_a_10,chroma_a_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,rolloff_a,rolloff_std,melspect_a,melspect_std,rmseP_a,rmseP_std,rmseH_a,rmseH_std,centroid_a,centroid_std,bw_a,bw_std,contrast_a,contrast_std,polyfeat_a,polyfeat_std,tonnetz_a,tonnetz_std,zcr_a,zcr_std,onset_a,onset_std,bpm,rmseP_skew,rmseP_kurtosis,rmseH_skew,rmseH_kurtosis,beats_a,beats_std,genre
aadf0edff32483d802b912af1318280276e72835,-108.72313,162.01822,-47.35231,46.110283,-18.391438,21.527725,-13.574557,2.5471814,-0.65884364,-1.457723,7.47051,1.3555882,1.6445599,15.82409,13.6348295,10.29949,9.445023,9.889592,9.322048,8.844306,8.536429,9.547953,8.327617,8.737783,7.179417,6.9012675,0.11455183,0.16747583,0.28899628,0.13787009,0.32349297,0.19734411,0.34405643,0.41549835,0.23638816,0.27515012,0.11532645,0.20332475,0.15197667,0.122305796,0.17776278,0.09788928,0.17899135,0.08031381,0.123958506,0.15282716,0.09728961,0.175127,0.08746332,0.17673823,5467.002696990967,1369.8337726277543,16.485607,75.91767,0.0699056677900802,0.0423000259748392,0.1284875082576656,0.0318858620170253,2555.661502760314,546.6630187978739,2863.693698411401,453.0562124243638,21.288302541856112,14.622762724595688,-0.000309379270308,5.4778089223077104e-05,0.0349215150053851,0.1550848012417264,0.0600332260131835,0.0182363407493944,1.3594126,0.9524413,129.19921875,1.4772500240533162,1.851155400809932,0.598247626036107,0.0754045499596256,14.527398769031423,8.52615997033879,blues
817008b35994d1e382e05183004f29732ed9de94,-363.2036,140.95357,-46.006195,9.1713915,13.590502,9.023529,7.13553,-7.645406,-1.5954776,-13.4087925,-9.273272,-6.0814366,-13.127527,31.144108,21.95859,17.419401,16.401527,9.9676285,7.0489864,6.8821807,8.017756,7.759835,6.408864,7.487612,9.80195,12.50518,0.25668186,0.18218955,0.24616952,0.16854891,0.19887277,0.27518877,0.07746507,0.091015875,0.12930286,0.17005733,0.4715309,0.24343391,0.14710552,0.17564723,0.19639552,0.19815627,0.20525566,0.19775468,0.096648134,0.11461006,0.15454468,0.124558456,0.25966468,0.11934071,3787.32873916626,1190.9985800616366,0.6579629,7.447604,0.0077235012355515,0.0106486525957468,0.0254316937981654,0.0247256028366017,2097.9550900085774,510.2788203213653,2097.742835169263,466.50079625603234,22.145346142006044,13.543408536206243,-3.894411715835126e-05,2.943540353563085e-05,-0.0277212348625669,0.2139955367624069,0.0550973892211914,0.0219278323742127,1.2404467,0.9629138,151.99908088235293,3.283289760078068,14.191663152485642,1.467578434181941,1.2581670833263443,14.837703783267692,8.488119094146136,blues
de4402d8c2a6c8495371427b5d2e30bf6621f649,-155.4703,159.8284,-19.424236,62.31123,-6.176091,26.91253,-5.306842,6.4893417,5.527677,3.2458203,-0.8656498,-6.1062217,-0.9112996,42.2568,22.307058,16.202929,17.561771,15.598558,12.173417,12.254865,10.769518,9.663491,8.24,9.966419,9.5446825,7.899118,0.15862131,0.38217252,0.16061158,0.20508774,0.3748057,0.11810873,0.21861222,0.14492603,0.2812778,0.23503046,0.18228891,0.36302525,0.093838915,0.18224367,0.1267848,0.13639167,0.14593378,0.109976366,0.15377988,0.11732148,0.14883135,0.13749872,0.109100245,0.19460306,5698.341636657715,2168.392135666621,13.905475,65.64154,0.0538022685977425,0.029739324474389,0.1221658509667158,0.0311853846255658,2523.8095427986173,942.609293683948,3020.318819039163,684.1603213013667,22.140033532077528,14.86924834688972,-0.0002512807322725,6.167665000505272e-05,-0.0214135815364354,0.1530727517577835,0.052754783630371,0.0310437106995931,1.5430481,1.7258856,107.666015625,1.0935299601328383,1.163216899506848,-0.0731934527980716,0.2380358943108098,14.39155264621572,8.454351667606401,blues
868448e06b800d3dc8bd6bd7de9c333ae4203d94,-274.764,164.1872,-30.839392,-0.614081,7.8283434,2.5129912,1.0833937,-1.8766342,-16.433159,-19.426847,-20.9063,-14.211248,-12.006973,35.735832,17.46953,17.277466,12.471974,15.110871,10.16864,7.8551145,7.1534243,7.7502184,11.015554,9.359351,9.324438,7.7024283,0.27666607,0.46569785,0.21666825,0.130668,0.07735642,0.20538251,0.082255974,0.059314776,0.4296688,0.27279997,0.21528907,0.24474542,0.13185887,0.14465266,0.11334749,0.10714303,0.14495751,0.1273609,0.10265114,0.10068676,0.16530228,0.14057185,0.16432445,0.15553854,3238.518047332764,1147.9805743054103,3.3244033,29.6701,0.0216087705399134,0.0261102297455323,0.0530861419142418,0.0387223012194693,1860.55538038948,461.5839272458979,2291.6109951297326,445.06171009217337,22.82991828866665,12.814934459657792,-9.56793916096751e-05,5.332395667872874e-05,-0.0517095261788246,0.1434685893300061,0.0462989807128906,0.0160634378029757,1.536508,1.3133862,103.359375,3.166565526031255,13.594564409963844,1.7062585153067185,2.783014440512944,14.388859543817524,8.369825330549071,blues
4a9bbf4ed1966c99aebaa080f5180e5b66accbbf,-243.06645,142.79358,-4.0137987,43.423115,1.7042665,29.019598,-10.210409,7.27567,-10.391087,2.4062696,-4.170977,0.8647958,2.3486228,24.944908,15.781518,12.629994,14.142195,10.4976225,7.1860075,8.123432,8.900015,7.838725,7.34478,6.9247413,7.261353,6.4778357,0.24264646,0.24406019,0.14908615,0.3849508,0.36029506,0.10961954,0.15642162,0.23324403,0.16768149,0.07835696,0.32082066,0.37002468,0.12370045,0.1242982,0.10091484,0.1315137,0.12718083,0.1136392,0.16955115,0.13529791,0.11777375,0.104703546,0.15757018,0.17974351,5436.88985824585,1696.2567243288024,2.4258945,16.881409,0.0216054193594658,0.0182507610409067,0.0520963425075712,0.0222676142735138,2380.7700196382443,437.71574575284393,3368.500977504972,474.42162574128463,21.179644532165725,14.028709401826996,-9.889677785206094e-05,3.738732034618852e-05,0.0103874274867319,0.1473237140339347,0.0357099533081054,0.0116481923596245,1.227379,0.7788793,129.19921875,2.264693998127911,6.653080997845397,1.3799827101548618,2.692585326884413,14.556097024668452,8.54785464476744,blues
3bb5eab2e67e76b5a00913cf69c3bd3bcad894fe,-305.9374,177.36732,1.5784619,10.946714,10.371667,3.2372673,-18.2786,-19.56637,-19.15101,-21.390438,-18.591623,-14.963031,-14.022656,29.038736,17.791874,18.30945,12.7465,11.934238,11.301281,7.977398,9.007505,8.52051,6.8823547,6.5115876,7.3609605,8.488923,0.19568373,0.15242799,0.28391626,0.27492744,0.1989209,0.23920675,0.36330923,0.3524267,0.104179,0.15567228,0.18831293,0.11831238,0.16951916,0.12537618,0.16805214,0.2151184,0.14256561,0.1850715,0.20133655,0.19309579,0.14128973,0.15912452,0.17093652,0.1373713,2357.2801208496094,935.0643895489897,2.7528632,17.462368,0.0164432049896923,0.0147887354115049,0.0548362839735284,0.0247927928342161,1385.7517895048172,326.59884550331094,2153.3552454269507,447.1659312157512,22.62988328937246,12.358194953150194,-9.118210164557626e-05,3.6451279957583e-05,0.0065887257468951,0.1620110578698111,0.0269712448120117,0.0087445034204122,1.5106754,1.4287311,178.20581896551724,1.4885434310812926,2.1472645399099006,0.5404385755632434,0.2573269195179648,14.675539064110492,8.5448547420129,blues
cc26b3fff957c13ee0f24f258e5b203783971bae,-300.42157,204.30034,-44.81266,-11.772137,15.230237,-18.463278,-12.62096,-5.966218,-16.250813,-16.728882,-8.66893,-7.265784,-9.665285,36.374405,23.466312,35.257885,23.595982,11.530875,14.207176,9.778873,8.764622,9.903618,9.913626,9.013492,10.553507,10.481989,0.18191567,0.17627808,0.29848325,0.16332898,0.118960425,0.42725125,0.112349674,0.1548378,0.20191589,0.22176456,0.4508926,0.1325546,0.14543873,0.15362893,0.1665674,0.18781815,0.12231157,0.15502636,0.10517727,0.14835432,0.1675466,0.14852063,0.19460295,0.09004199,2677.140712738037,873.6404996754458,1.4628665,7.3762703,0.0155199233288999,0.0129705553457613,0.0461275657156243,0.0190143611873903,1539.8705566526903,570.420704187542,1343.601620311366,251.07170463270532,22.41530487073525,11.080246137250336,-9.092876672275036e-05,3.1738991097779224e-05,-0.0501330802591587,0.1430181499525746,0.0526376724243164,0.0268761617356657,1.363112,1.4719746,103.359375,2.010474292031161,4.940372341634518,0.6304743180002648,-0.413877741223684,14.49087709750567,8.451566229123898,blues
cbd92f3c450a0a64a50d6aa8b446483c7d72b2af,-274.96243,167.20071,-0.44950667,8.221432,9.7723675,9.382514,-11.982567,-4.3760376,-4.6097174,-6.5769205,-14.7002535,-11.368732,-7.3652267,44.43298,13.340864,29.004784,14.684277,14.330969,12.207239,11.197851,10.567059,9.286043,8.529988,8.878604,7.559105,8.355684,0.31538475,0.21754389,0.07216144,0.032105327,0.15776098,0.17384183,0.06116929,0.16899034,0.16214947,0.36773592,0.4484667,0.24144158,0.26313594,0.18439902,0.09079744,0.0721531,0.17072807,0.17026564,0.09729987,0.14392641,0.13831376,0.20739844,0.21726525,0.15575066,2706.891860961914,1165.702591649297,5.719567,40.26196,0.021563592022893,0.0220812535336582,0.0825501740860184,0.0442634449440185,1602.586579201496,430.5303014052852,2438.470683959671,478.4025439860193,23.24010720612777,12.42887559715844,-0.0001251125008153,6.219552884333667e-05,0.0418854285484438,0.1722212930771193,0.0298009872436523,0.0147417855095005,1.6246078,1.5178142,139.6748310810811,1.9837623961057864,4.490558884759847,0.2229717177492483,-0.9643595741264774,14.92235433303756,8.357389240279167,blues
c7e9c2b8859fc6eacda3e9346dbc6f3d07130c3f,-311.38336,162.80371,-11.808881,17.972076,19.060043,7.8563766,6.2900333,-6.296462,-7.4632554,-1.8125107,1.1158289,-8.426184,-9.636858,44.74664,13.098468,22.81206,11.700936,11.397529,9.487043,7.0289373,10.103851,8.4330845,9.594056,8.485546,7.9731784,7.9030457,0.24388108,0.36905822,0.3064139,0.039045993,0.08406794,0.15117022,0.39272577,0.46347228,0.09502826,0.11130384,0.19044909,0.22028176,0.19267783,0.12776563,0.13995188,0.06932054,0.09993581,0.12906855,0.124919206,0.12960367,0.09592995,0.10093822,0.15711586,0.15088171,2810.108242034912,819.0617390947776,1.1548251,11.726524,0.0124868864605973,0.0118537038160692,0.032641064062044,0.0203120662787343,1453.8427961019484,370.74274510201207,1836.849738642252,361.0553556889622,22.80802600989133,13.148749775309094,-6.139401626980908e-05,3.359890459757371e-05,0.0098795045118731,0.1279161759619416,0.0346305847167968,0.0138818723325557,1.5469354,1.6410006,178.20581896551724,1.8597884498128483,3.948424994535492,2.707025778422538,11.245526474801771,14.732533498247784,8.558538459248002,blues
3b05ee46724f24a7e92d1f00dca692bf44db4a2e,-256.01846,183.93973,-49.62426,57.748848,1.4862459,-8.1364565,19.896786,-7.428849,4.486319,-2.176149,-4.5866547,-7.0115156,-7.575859,26.921173,21.015455,21.937635,16.479063,11.940375,11.086597,10.698677,7.4921575,7.070677,6.7670217,8.138205,7.8982663,7.2928047,0.25830042,0.23788853,0.1983273,0.1769425,0.30579233,0.252326,0.26515645,0.35711148,0.2077167,0.28736296,0.18371224,0.18558839,0.19985375,0.1597469,0.14192896,0.1442601,0.16201699,0.13777812,0.12128511,0.16132978,0.124492966,0.13695529,0.10962413,0.13586377,4206.788806915283,1021.6341467168974,2.74279,12.800282,0.0233369532658633,0.0171817812742351,0.0561985755764017,0.0236907456916091,1977.990448706863,504.08500412510665,2109.6275138114124,296.16850922459986,21.44552012421668,13.965258502060845,-0.0001122432471745,3.95848986052104e-05,0.0040932159236875,0.1239559088837015,0.0519584655761718,0.0242524322237368,1.4238942,1.3773134,109.9567819148936,1.627541980106303,3.860082503289669,0.6874671422607546,0.6137523624900898,14.309297052154196,8.453604009720651,blues
